#RUN,Digest Matching, Service time Digest, Service time Normal, Service time Premium, Service time Reliable,Response time Digest, Response time Normal, Response time Premium, Response time Reliable, Wait time Digest, Wait time Normal, Wait time Premium, Wait time Reliable,Interarrival time Digest, Interarrival time Normal, Interarrival time Premium, Interarrival time Reliable, Avg num of jobs Digest, Avg num of jobs Normal, Avg num of jobs Premium, Avg num of jobs Reliable, Num of timeouts Normal, Num of timeouts Premium, Num of timeouts Reliable, Global Response Time, Global Premium Response Time, Global Normal Response Time, Percentage of Failure, Rho Digest, Rho Normal, Rho Premium, Rho Reliable
0,4880,0.598629,148.087925,118.623666,72.686040,1.932408,275.065271,130.930046,350.998398,1.333779,126.977346,12.306380,278.312358,0.865528,3.011753,1.303939,88.950472,2.232634,91.330613,100.411153,3.945998,567.000000,404.000000,0.000000,171.291203,128.502216,270.125819,0.000000,0.691634,0.983400,0.957614,0.817152
1,4850,0.602479,148.003240,120.205033,74.903654,2.024607,249.667146,151.429415,490.450431,1.422128,101.663905,31.224382,415.546776,0.861005,3.000514,1.295246,85.811390,2.351445,83.208116,116.911665,5.715447,551.000000,452.000000,0.000000,179.225751,149.217591,248.869428,0.000000,0.699739,0.986519,0.976892,0.872887
2,4802,0.598607,147.445546,118.915417,71.591808,1.938201,227.490006,138.971454,414.446627,1.339594,80.044460,20.056037,342.854819,0.866905,3.032138,1.301787,85.264419,2.235772,75.026281,106.754408,4.860722,544.000000,468.000000,0.000000,163.729367,137.017987,225.911728,0.000000,0.690510,0.972552,0.961556,0.839645
3,4743,0.600544,147.543207,118.513166,75.272533,1.970016,233.349017,135.724340,475.138285,1.369472,85.805810,17.211173,399.865753,0.863251,3.016764,1.295227,86.646565,2.282090,77.350769,104.788071,5.483637,518.000000,478.000000,0.000000,163.924263,134.576699,232.161736,0.000000,0.695677,0.978155,0.963157,0.868731
4,4859,0.600453,147.149778,119.432566,73.086546,1.948879,232.986067,139.079872,341.956663,1.348425,85.836289,19.647307,268.870117,0.865802,3.028226,1.301149,88.654097,2.250953,76.938137,106.890038,3.857201,533.000000,443.000000,0.000000,164.450155,136.330183,230.050588,0.000000,0.693523,0.971855,0.966211,0.824401
5,4803,0.603266,148.727165,118.581624,78.371894,1.967276,187.356154,133.765097,366.820615,1.364010,38.628988,15.183473,288.448722,0.868368,3.060184,1.300012,94.909079,2.265487,61.223828,102.895261,3.864969,503.000000,405.000000,0.000000,147.829874,131.380380,186.573886,0.000000,0.694713,0.972015,0.960166,0.825758
6,4909,0.599093,148.551244,119.698448,70.326761,1.939127,255.680787,140.254755,503.069875,1.340034,107.129544,20.556307,432.743114,0.863390,3.022518,1.297741,83.604510,2.245945,84.591986,108.076088,6.017258,582.000000,451.000000,0.000000,173.476654,138.660669,254.360549,0.000000,0.693884,0.982964,0.970905,0.841184
7,4880,0.602681,147.070248,119.296182,80.021603,1.953562,221.897664,142.823806,1134.047696,1.350881,74.827416,23.527625,1054.026093,0.865256,3.020255,1.301834,85.369145,2.257785,73.469847,109.709679,13.284047,540.000000,467.000000,0.000000,171.887123,145.282696,233.759737,0.000000,0.696534,0.973893,0.964600,0.937360
8,4883,0.601048,146.279037,119.515868,72.945820,2.027139,215.869940,141.766572,323.366187,1.426091,69.590903,22.250703,250.420367,0.860798,2.984790,1.298399,88.628117,2.354953,72.323331,109.185705,3.648573,512.000000,462.000000,0.000000,161.404543,138.977620,213.032136,0.000000,0.698245,0.980163,0.968933,0.823055
9,4851,0.599363,145.880932,118.913774,71.886317,1.946281,215.344518,144.261314,362.745886,1.346918,69.463586,25.347541,290.859569,0.862263,3.003731,1.297476,85.422834,2.257178,71.692355,111.186100,4.246474,556.000000,452.000000,0.000000,163.276430,141.536203,213.645247,0.000000,0.695105,0.971332,0.964738,0.841535
10,4829,0.598822,147.086074,119.113996,75.553468,2.000106,245.941752,140.300615,418.263241,1.401284,98.855678,21.186620,342.709772,0.859071,2.985616,1.293141,93.697705,2.328219,82.375539,108.495996,4.463965,493.000000,428.000000,0.000000,169.787803,138.106697,242.952174,0.000000,0.697058,0.985298,0.969602,0.806353
11,4828,0.600732,146.875678,119.002807,75.369334,2.023145,231.797051,142.587229,402.366320,1.422413,84.921373,23.584422,326.996987,0.862648,3.008062,1.297148,89.011460,2.345272,77.058597,109.923604,4.520388,536.000000,434.000000,0.000000,167.216783,140.217454,229.851287,0.000000,0.696381,0.976547,0.965704,0.846737
12,4761,0.599987,147.378237,118.759360,74.553343,1.950311,251.756946,138.981758,425.538752,1.350323,104.378709,20.222397,350.985409,0.863499,3.012096,1.297050,87.914227,2.258614,83.581977,107.152207,4.840386,539.000000,445.000000,0.000000,170.834668,137.182959,248.680778,0.000000,0.694833,0.978576,0.963801,0.848024
13,5004,0.601313,148.384019,118.895745,78.345669,1.983187,297.746513,137.420835,731.494793,1.381874,149.362494,18.525089,653.149124,0.860919,3.023466,1.293849,87.335634,2.303569,98.478536,106.210895,8.375674,521.000000,466.000000,0.000000,185.393693,137.354789,297.797279,0.000000,0.698455,0.981549,0.967296,0.897064
14,4874,0.596413,147.135009,119.289465,75.327621,1.913223,253.465732,139.190195,305.796340,1.316810,106.330723,19.900730,230.468719,0.862070,2.991038,1.299916,91.095175,2.219337,84.741722,107.076303,3.356888,536.000000,412.000000,0.000000,170.163336,136.088824,248.658936,0.000000,0.691839,0.983839,0.965969,0.826911
