Minutes, Mean, Upper, Lower
0, 70.770351, 71.969040, 69.571662
5, 93.230071, 94.790728, 91.669414
10, 104.119359, 105.804024, 102.434694
15, 111.668910, 113.570837, 109.766983
20, 116.914011, 119.053444, 114.774578
25, 120.984121, 123.276674, 118.691568
30, 124.483569, 126.904044, 122.063094
35, 127.539106, 130.088491, 124.989721
40, 130.239612, 132.854913, 127.624311
45, 132.389001, 135.092794, 129.685208
50, 134.322573, 137.127196, 131.517950
55, 135.937102, 138.844855, 133.029349
60, 137.519439, 140.525880, 134.512998
65, 139.044985, 142.132850, 135.957120
70, 140.418984, 143.552448, 137.285520
75, 141.708975, 144.890133, 138.527817
80, 142.887936, 146.088278, 139.687594
85, 143.774595, 146.981197, 140.567993
90, 144.489585, 147.688735, 141.290435
95, 145.224793, 148.446865, 142.002721
100, 145.796257, 149.033451, 142.559063
105, 146.285310, 149.551969, 143.018651
110, 146.708918, 150.009840, 143.407996
115, 147.048206, 150.370702, 143.725710
120, 147.319502, 150.666107, 143.972897
125, 147.495081, 150.853082, 144.137080
130, 147.608756, 150.967281, 144.250231
135, 147.741914, 151.096889, 144.386939
140, 147.762944, 151.109634, 144.416254
145, 147.798255, 151.123305, 144.473205
150, 147.735658, 151.035419, 144.435897
155, 147.637259, 150.902327, 144.372191
160, 147.551535, 150.775222, 144.327848
165, 147.463432, 150.638206, 144.288658
170, 147.353279, 150.493529, 144.213029
175, 147.266861, 150.373292, 144.160430
180, 147.143921, 150.216681, 144.071161
185, 147.084860, 150.136282, 144.033438
190, 147.071012, 150.099312, 144.042712
195, 147.015159, 150.029424, 144.000894
200, 146.939309, 149.931224, 143.947394
205, 146.868333, 149.841602, 143.895064
210, 146.792605, 149.743971, 143.841239
215, 146.786802, 149.708994, 143.864610
220, 146.774305, 149.667630, 143.880980
225, 146.769392, 149.632013, 143.906771
230, 146.756986, 149.596335, 143.917637
235, 146.730587, 149.543017, 143.918157
240, 146.675462, 149.463162, 143.887762
245, 146.549224, 149.311933, 143.786515
250, 146.418642, 149.157789, 143.679495
255, 146.324096, 149.039747, 143.608445
260, 146.257978, 148.959494, 143.556462
265, 146.196730, 148.885612, 143.507848
270, 146.151303, 148.828950, 143.473656
275, 146.112251, 148.778405, 143.446097
280, 146.055343, 148.714312, 143.396374
285, 146.025713, 148.675765, 143.375661
290, 146.023942, 148.657187, 143.390697
295, 146.028542, 148.645130, 143.411954
300, 146.042501, 148.641519, 143.443483
305, 146.051636, 148.633612, 143.469660
310, 146.054270, 148.620766, 143.487774
315, 146.070254, 148.625314, 143.515194
320, 146.071098, 148.612098, 143.530098
325, 146.073017, 148.602624, 143.543410
330, 146.042190, 148.564915, 143.519465
335, 145.985812, 148.503863, 143.467761
340, 145.949518, 148.465821, 143.433215
345, 145.909864, 148.421917, 143.397811
350, 145.888664, 148.396882, 143.380446
355, 145.889566, 148.391479, 143.387653
360, 145.897341, 148.395416, 143.399266
